state,x,y
Andhra Pradesh,-106,-158
Arunachal Pradesh,184,145
Assam,161,101
Bihar,44,91
Chhattisgarh,-28,5
Goa,-186,-133
Gujarat,-223,45
Haryana,-122,170
Himachal Pradesh,-106,229
Jharkhand,28,45
Karnataka,-161,-152
Kerala,-145,-246
Madhya Pradesh,-111,34
Maharashtra,-175,-51
Manipur,201,72
Meghalaya,138,85
Mizoram,191,38
Nagaland,218,100
Odisha,14,-32
Punjab,-138,205
Rajasthan,-178,105
Sikkim,98,144
Tamil Nadu,-104,-235
Telangana,-85,-85
Tripura,153,47
Uttar Pradesh,-52,117
Uttarakhand,-76,193
West Bengal,72,31
Andaman And Nicobar Islands,194,-232
Chandigarh,-101,201
Dadra And Nagar Haveli And Daman And Diu,-190,-20
Lakshadweep,-203,-257
Delhi,-92,159
Puducherry,-54,-216
Ladakh,-101,290
Jammu And Kashmir,-207,273